label;text
shame;shame reprehend
guilt;shout colleagu classroom
joy;possibl get better profession life valor veri much aspect peopl show possibl not real fact even
fear;curiou went spirit session friend alreadi time mani time younger dai even don t believ spirit terribl afraid someth would happen sort incorpor
anger;deni job person props give polit reason noth directli profession level
sadness;inform talk friend talk life anoth person common friend situat not abl assum certain problem decid solv is suggest problem decid solv didn t get moment
disgust;friend camp weekend littl food met middl ag coupl small town invit eat hous hous small badli built old dirti fornitur utensil problem pan dish even food
shame;went meet famili boyfriend parti hous mother eager know friend readi make joke situat
guilt;met anoth person began him boyfriend with marriag accord met togeth great scandal broke engag began other didn t work mind mix up
joy;got wed ring diamond boi love
fear;afraid get alon without friend without anybodi
anger;stole dark blue tenni
sadness;becam consciou men don t wnat anyth don t goal have sex isn t import
disgust;went clinic hospit saw condit peopl attend there
shame;last dai carnav met boi began flirt him love him introduc friend di shame befor met boyfriend carnav
guilt;didn t pass examin fuvest felt guilti should studi opportun drew out
joy;met great friend talk littl him see anoth miss
fear;feel afraid wai great friend look me also littl afraid direct go
anger;felt anger friend met date becom nervou pest alwai get meet him
sadness;knew almost dai two great friend mine seriou existenti crisi mainli notic i m situat ar didn t realiz it
disgust;friend get acquaint gui vacat thought disgust friend mine feel littl disgust want stai him
shame;felt shame talk person hadn t seen mani year shame wouldn t recogn wouldn t know sai
guilt;wish secretli li friend mine didn t want stai hous beach as alwai doe wouldn t stick me
joy;enter univers
fear;afraid sever time mark almost didn t enter univers
anger;i m crazi footbal team lost goal paulist championship lost classif
sadness;grandmoth second mother di
disgust;girl like didn t accept curt
shame;first sexual relat didn t work
guilt;father seriou fight sister me
joy;met girl ask date agre thought girl would never like me emot joi
fear;fact girl year marri guilt disgust fear main factor relationship
anger;car sad felt anger wai act negoti it
sadness;bui car didn t like busi car
disgust;met girl year old marri like her ask date kiss her discov live nearbi pass everi dai got amus think husband would didn t talk anymor
shame;mother look drawer where keep person thing found porno photo kept week split it
guilt;girl year marri felt guilti relationship
joy;felt joi red name list approv entranc colleg examin
fear;visit parent law hous invad three strang men commit arm assault
anger;nearbi end year wife car ride appear anoth vehicl driven drunk driver provok accid
joy;friend didn t see month circumst met made feel happi perhap on good thing learn friend
fear;left carnav ball o clock a m alon foreign citi back home gui appear tri catch me
anger;fact hadn t inform someth greatest trust person
sadness;friend mine lent apart holidai besid fine person month later knew di tragic moto accid veri young felt sad couldn t believ until todai
disgust;contact poor famili northeast offer crab eat request fact crab prepar antihygien appear also antihygien caus disgust at anywai
shame;birthdai member group made surpris public place p m give flower suvenir
guilt;attend demand made client work bank suggest applic monei week ahead inform wrongli client arriv week applic wasn t made lost lot time monei
joy;when long time search got first job
fear;time work transfer anoth place quit harder job
anger;us chief ask doubt job didn t care didn t answer me leav speak alon
sadness;knew person like veri much didn t react wai would like to even knew feel me
disgust;knew person didn t like feel
shame;lot explan fail work
guilt;brother home watch program start teas joke hurt without know serious went on got angri gave back me moment felt anger know fault
joy;person like veri much got near me
fear;home alon heard nois roof doorknob drawer
anger;person privileg account situat unjust disloy colleagu friend
sadness;betrai friend decid stai apart form her
disgust;seri fact occur colleagu start feel certain necess get apart didn t want see anymor
shame;went studi public librari didn t know well got book want studi hear music went place could it pass door bell rang man came sai couldn t leav book
guilt;broke gutar colleagu happen moment nobodi present could escap guilt
joy;made colleg entranc examin p u c want more first list came got frustrat wasn t in second list came without hope start read newspap name thre bu felt like cry everybodi could hear me cry hold becam forev mask life
fear;rememb child storm made terribl afraid thought hous come next dai would dead everybodi awak stai night bed without fall asleep
anger;work happen fight person charg me got angri spoke everyth felt moment
sadness;rememb dai father di year old sad great todai rememb everyth dai cloth wear reaction peopl despair mother brother mark lot greatest sad felt
disgust;sit school wait sister home suddenli boi put fire paper threw sit paper didn t get me felt terribl disgust cowardli irrespons caus great discuss went director he drunk alwai said attent school felt disgust situat person implic it
shame;time asham present seminari even speak class
guilt;adolesc veri violent fight sister hold stong neck throat surgeri make feel guilti futur reaction might injur surgeri
joy;dai receiv kei apart could enter it fianct bought yet plan seem almost imposs happen
fear;driver licenc didn t drive long time start drive again get hard transit highwai
anger;boss cut vacat sai month wouldn t possibl time let anoth girl take vacat month anger resent result bad relationship
sadness;fianct s famili adopt year old boi felt close never felt befor time mother demand care kid oblig send back
disgust;girl work doesn t take care much hygien come alwai hair oil not veri agreabl smell bad appear besid tri nice
shame;dai boyfriend coupl friend bar said someth didn t like don t rememb what without think slept back get asham sorri after
guilt;start romanc husband went curt stai car make love time seventeen veri immatur dai lost virgin
joy;friend took place gave gift astrologyc map explan psychologist
fear;dream chase upmost horror door close felt synchronicali dream scare
anger;mother slap face felt anger moment
sadness;deepli felt could lose person love best foolish
disgust;felt disgust toward meat felt sick steak week meat
shame;act alon charact public peopl
guilt;stare much pastri woman eat instant pastri felt floor
joy;dai work school relationship came want recogn work
fear;woke middl night dream wasn t nightmar unintelig dream wich woke certain end
anger;rob bu
sadness;try get closer person misinterpret me
disgust;felt smell industri pollut
shame;somebodi knew greet start talk didn t know couldn t rememb wa
guilt;unjustli accus person famili someth didn t realli do
joy;travel south brasil near end year well settl friend even m somebodi also us took purs pint colour us friend beach paint went beach champagn
fear;walk friend s hous block hous car began follow me wait pass rotate littl stop wai chang complet wai car went follow turn corner run hid garden hous wait car pass by went back home terribl afraid
anger;on dai lent tenni wash sister ask it ask not soil wash it next dai look tenni dirti wax could not soil it lack consider felt veri angri
sadness;second time went entranc exam v s p didn t get approv
disgust;travel person on met travel didn t like her on night asleep friend talk loud kitchen got ask silenc sinc dai felt constant disgust her
shame;work friend mine borrow car could get bach there come s paulo car here said when get car tell mother take car bacaus ask doesn t like borrow it next dai borrow come back again come back crash car quit lot on first person met accid mother said you weren t take car yesterdai befor saw alreadi asham
guilt;date boi didn t feel like didn t go wasn t home purpos time arrang
joy;friend mine abroad undertook recent axam enter univers dalla approv
fear;felt afraid lose somebodi love anoth person incomprehens person lot time fight person
anger;certain occas fight boyfriend fight close door face went awai came back next dai
sadness;last year took colleg entranc examin fail fuvest frustrat situat studi year long thought thi
disgust;certain occas saw dog street eat someth strang gooei wasn t abl eat lunch rememb scene time
shame;never made malici joke front boyfriend last week funni love it di shame
guilt;parent fight lot time i m reason fight feel guilti
joy;knew first job
fear;divorc
anger;mother law slept bed
fear;terribl fight provok friend
anger;last year high school huge fight group graduat commiss two student classroom accus unjustli gossip them
sadness;year old father travel veri much work he pass three month awai home
disgust;saw film snake crawl everywher felt crawl bodi skin nois disturb veri much
shame;plai secret friend time high school give present boi veri ridicul thi
guilt;child us plai cousin gush wather front door hous on dai decid gush pass car driver stop went discuss mother aunt there
joy;got small present form person like veri much
fear;friend mine discuss me felt fear lose her occur missunderstand mutual colleagu
anger;boi tri fool would try show gook boi
sadness;boyfriend ask forget him would easi
disgust;oldest sister discov boyfriend anoth girl
shame;bar friend fight gui tabl asid
guilt;deni someth sister feel sorri try bypass situat
joy;saw name newspap knew enter univers
fear;father di felt alon fear possess me child sister brother young
anger;love person went awai wasn t necessari left reach goal
sadness;close friend travel anoth countri knew would come back mani year felt veri sad
shame;began date first gestur affect made feel asham
guilt;dai decid get hous saw brother s ey blame situaiton
joy;friend didn t see long time relationship much union interact on year didn t see her appear home talk
fear;sit bu come back school man nearli forti year sat besid me look saw look open throuser hold peni
anger;mother ill ask prpare lunch went it work stai behind tell had not do ask stop meddl bed went ask help sister mother said proud ask help want wasn t abl cook myself
sadness;christma dai grandmoth di receiv new come back parti am
disgust;event describ fear bu man sat besid me trouser open hold peni
shame;went halloween parti walk shop center dress like witch
guilt;park corner go didn t watch anoth car come went out car come oblig stop suddenli didn t crash littl
joy;got record gift friend
fear;cross street nearli trampl car
anger;girl enter divis work greet everybodi not me
sadness;dear friend remov divis whre work
disgust;somebodi despis friend mine
shame;friend told stori stai dumb stori tell
guilt;slap nephew someth consid wrong reprehend thi
joy;want walk didn t know either whom suddenli invit appear
fear;pass by car bridg on car could pass precipic side protect grill bridg complet muddl
anger;chief accus error hadn t made
sadness;knew sister s law finaci situat face
disgust;see damag lettuc with worm icebox
shame;group friend began make critic me
guilt;knew niec bad schoolar examin couldn t explain lesson
joy;felt great joi knew father go sell apart guarusa wai held it mean didn t place apart
fear;dai black out citi exposit felt fear someth seriou happen like revolut exampl
anger;don t us lie paret do two time felt anger doubt said go club didn t believ dai met fliperama wish kill them
sadness;felt veri sad saw first list name peopl enter univers name wasn t there
disgust;felt disgust friend done great effort organ even togeth didn t work out put blame me thi feel disgust toward blame me
shame;feel asham everi time someon make posit neg critic
guilt;yesterdai broke sister s raio hear alwai school examin examin
joy;discov friend would licens first call emot accompani great relief coron year sacrific extren disciplin
fear;week enter armi select dai pass hour dai wait answer last worst fear convok hear fate phrase constant
anger;mislead person assur someth would not occur reason prepccupi myself suddenli saw implic fact incompet irrespons person
sadness;didn t succe enter univers felt colleg entranc cours sistem prejud me integr effort weren t correspond
disgust;plung swamp fetid stagnant water
shame;accus unjustli person robberi prove contrari almost caus public fight
guilt;initi interview recruit don t know why accept test armi
joy;felt joi enter univers
fear;on dai realiz alon felt fear loneli
anger;felt anger saw mislead boyfriend went girl felt anger falsiti
sadness;boyfriend chang behavior someth wrong felt sad desagr relationship end
disgust;felt disgust realiz eaten someth fatti vomit much
shame;realiz bath suit spot becam menstruat
guilt;rob loop supermarket
joy;meet famili friend felt dear love share glad togeth birthdai
fear;saw horror film
anger;sister took someth belong without permiss
sadness;felt alon without love
disgust;visit crech condit weren t precari children condit physic emot penuri
shame;fell down
guilt;lost confer hadn t got touch certain person inform would her thought knew want
joy;make effort enter univers found cours school higher educ compat experi potenti
fear;import amount monei felt fear assault
anger;realiz person court hadn t realli side long time alreadi deceiv let deceiv me
sadness;notic mani thing pregiudic myself
disgust;see person spend monei shop center complet indiffer miseri reign countri
shame;felt asham brazilian live militari dictatorship despoil peopl militari servic
guilt;face possibl child wasn t either desir permit
joy;felt joi pass worst phase life discov mani peopl consid import them
fear;felt fear month ago lose person love said didn t love me
anger;felt much anger perhap feel till now girlfriend s sister incit betrai need veri much didn t think anyth simpli pass everyth
sadness;dog di
disgust;girlfriend s sister viper discov time ago
fear;like watch horror film scare hell me
shame;felt asham feel sorri pass situat betrai girlfriend
guilt;felt guilt betrai person love
joy;didn t like former fob felt joi receiv telegram offer new on though better wait
fear;train fight occur on person open handbag took gun anoth fought look among thing weapon fight
anger;without employ s knowledg even without commun bank account chang person account close
fear;watch horror movi yesterdai scene sound effect frighten sent shiver spine
sadness;brother want bui flute didn t accept afterward regret becam sad
disgust;felt disgust saw dead anim roadwai
shame;bu school materi fell sat lap anoth passeng
guilt;forgot take monei mother ask would do mess program follow dai
fear;look though seen ghost
joy;dai boyfriend appear home pair ring wed
fear;on dai near home kiss boyfriend car mother appear ask home didn t know event
anger;ex boyfriend tri prejudic fianct famili sai thing let famili worri postpon wed alreadi us wed ring honest didn t feel anger felt hate
sadness;dai result colleg entranc examin paulo univers publish didn t find name list enter univers greatest wish fact not succed caus great frustrat not sad
disgust;saw film memori prison saw scene masturb man hold ship apart form fact film wasn t pleasant leg coconut candi hand
shame;dai boyfriend saw touch breast without shirt pant
guilt;on dai boyfriend put hand peni felt well felt guilti conscienc hadn t thought consequ could brought gone farther
joy;peopl rememb show interest do
fear;talk import person job
anger;brother went new shirt ador return dirti greas
sadness;felt sad notic i m not import determin person mani thing friend see soon after doesn t anyth us think us
disgust;need anoth job tought good known person my employ could help me simpli said couldn t help me
shame;arriv late job met troublesom boss
guilt;on pupil escap school street
joy;felt glad live went meet knowledg techniqu medit connect essenc human be
fear;receiv phone call high school friend whose younger sister studi univers gave lift everi mone go get marri gui knew di fell build afraid lose somebodi sinc alreadi lost brother accid
anger;grandmoth highli authorit person live alon independ doesn t know live without command other hate thi
sadness;alwai sad boyfriend goe awai live studi citi gone steadi year everyth go veri well sometim situat make feel bad veri lone
disgust;felt disgust kiss gui know out boyfriend person appear noth me
shame;felt asham bodi spite know less beauti also know boyfriend consid beauti begin
guilt;alwai feel guilti see mother sad fed life realli dont know reason
joy;bought car
fear;alon home man forc front door lock forc tri open window
anger;seriou argument dear person
sadness;on night veri dear person said hate you cours impuls person didn t feel me person express regret everyth settl can t forget
disgust;met boyfriend anoth girl
shame;still child told face person touch object didn t belong me
guilt;fought sister said provok thi veri serious scold
joy;birth daughter
fear;should given test lesson get job courag didn t make test
anger;discuss mother wai educ children felt anger mother
sadness;grandmoth di
disgust;return universt night accost boi molest me pass hand bodi
shame;friend mine visit hous mess
guilt;daughter babi cry taken lap felt veri nervou move awai went out soon feel nervous pass taken enorm feel guilt reject daughter
joy;found human treasur desir got immedi didn t think anyth touch implod whole
fear;dark room insecur hole cover wooden sheet roof establish alreadi assault could assault again
anger;said absurd thing fals thing fill ear inflat head seem caught carcass heart want explod arm want knock world
sadness;on dai heard friend boi love gone not me
disgust;saw magazin photograph dead maim peopl whose limb separ bodi like head on side leg other
shame;classroom discuss teacher told thing affect directli neg wai job behavior classroom front pupil
guilt;greatest guilt felt didn t know realli justifi child brother veri close me becam ill ask see hospit didn t go situat becam wors u i t uniti intens therapi went di
joy;on greatest joii succed acquir motorcycl effort
fear;i m afraid drive special seat mororcycl mainli certain colleagu exc self confid drive beyond limit measur traffic main victim alwai person sit behind driver
anger;felt much anger fahter interf relat anoth person like veri much end someth ador
sadness;on greatest sad grandfath di love veri much
disgust;main disgust codfish detest even smell it
shame;sincer i m veri timid gui even veri simpl situat sometim asham
guilt;guilt consid reason reprov end semest univers
joy;got stereo walkman father finaci difficulti thought although promis give present not oblig so
fear;someon would discov realli love
anger;colleagu rude didn t understand subject discuss
sadness;not succed get job translat want
disgust;saw man hadn t lower car exhibit pass handkerchief insid outsid mouth
shame;went friend mine meet ex boyfriend didn t know engag marri
guilt;event describ shame
joy;pass whole weekend boyfriend come back home sundai afternoon met parent first time
fear;fight home father threaten throw chair brother
anger;felt anger person told bad thing absenc
sadness;disagr parent alon father sister aggress continu father tri put sister mother reveal fact happen past like talk father mother law told mother not quit save
disgust;childhood forc take cod liver oil
shame;feel asham prais
guilt;provok fight mother hurt feel veri much
joy;live room home ex boyfriend nearli year separ talk began rememb court gave long kiss
fear;friend station car when suddenli man appear side gun side hold up last minut terribl never seen gun close
anger;farm friend talk discov friend mine betrai boyfriend friend our
sadness;watch televis midnight veri dear friend call sai father di accid
disgust;work classmat s hous group girl began graze foot mine tabl
shame;talk aunt mine ador found courag sai love you came shame
guilt;feel come frequent night tell mother shall come back earli get home a m
joy;alwai meet person love
fear;person mention suspicion pregnanc
anger;left examin enter univers even though studi whole year made bad exam
sadness;thought instant veri good relationship person finish
disgust;heard bad new death close person
shame;tri hide fact person irrelev reason consid attitud childish
guilt;happen sometim connect certain person frequent relationship noth special
joy;enter univers year struggl
fear;practic wind surf bodi caught sail try get leg caught lash afraid dy asphixia
anger;univers convok stroll like freshman still innoc manipul see goal exalt poor charact peopl felt anger feel mass maneuv
sadness;social situat becam interest woman talk laugh enjoi other desappear minut littl appear man
disgust;saw man fall walkwai seem half dead immobil felt disgust peopl pass without anyth help
shame;traffic insult man cross wai afterward pair him felt shame mine lack pacienc ridicul attitud
guilt;great friend mine travel intent chang life didn t succe return depress not power support frustrat behavior chang
joy;friend mine travel veri far miss feel joi fer life take right direct want feel joi mainli
fear;motorcyclist accid minut didn t know aliv dead remain cold lever situat felt great fear
guilt;act neg wai certain moment lazi conced moment time thought own
joy;met mother month absenc
fear;whatch horror film fridai th
anger;discuss certain person job get perosn neg pessimist
sadness;felt lack aid close friend
disgust;saw fight physic reaction disgust deep perturb
shame;walk street pass air duct skirt went up
guilt;disloy person love
joy;got present great friend dog
fear;scene shoot front hous veri afraid two arm men confront didn t discov reason incid
anger;wait receiv particip profit not receiv it
sadness;didn t get job want
disgust;went eat aunt s hous serv macaroni horribl appear felt sensat abov worst practic oblig eat
shame;saw father come bathroom thought alon home came without cloth
guilt;misl person said would favour didn t
joy;see parent far them
fear;sit examin
anger;onc perform not sing wai to
sadness;got separ woman love
disgust;american set nucleaar missil europ
shame;don t sai truth don t certain thing thank lazi
guilt;promis someth didn t it
joy;admit bulgarian state conservatoir
fear;afraid i ll finish term
anger;angri abil singer underestim
sadness;feel sad fact not born better appear
disgust;disgust hypocrisi colleagu group
shame;shame feel not properli dress
guilt;sens guilt felt couldn t defend confid teacher thu discredit concert
joy;new born child
fear;could kill fall object
anger;certain situat felt neglect undeservedli harm
sadness;sudden death on parent
sadness;get separ famili week caus sens sad
disgust;felt saw colleagu mine eat like beast time make gestur speak make hell nois
shame;felt sens shame compromis colleagu mine got inform quit place share anoth colleagu mine result unpleas consequ him
guilt;promis fulfil errand later understood impractic explan gave accompani sens guilt
joy;felt joi strongli year ago took part competit first
fear;feel fear imagin could lose confid abil power similar feel feel sometim exam
anger;feel anger see parent beat punish child street recent with similar case
sadness;feel sad imagin could lose close person time ago lost man greatli respect
disgust;similar feel felt quit recent travel taxi driver treat roughli dishonestli chose longest rout overdraw almost on lev tri intim me
shame;dai ago fell public place came notic thank god not mock at though hurt badli first moment felt shame not ach
guilt;felt guilti pain caus veri close friend feel guilt convict right domin
joy;nephew born birth hard big babi
fear;late on night pursu gipsi good intent
anger;brother accus undeservedli parent not guilti misl wife
sadness;left boyfriend found anoth girl home noth reliev situat
disgust;found big black beetl coffe cup aliv big move limb
shame;prepar read paper fellow student didn t cope task
guilt;thrown ashtrai still light cigarett plastic wastepap basket burnt landlord made row might set flat fire
joy;time ago present wed parti two close friend mine
fear;cross street togeth colleagu mine suddenli found almost wheel truck
anger;someon stole ski vitosha cours on blame left without supervis
sadness;got separ form closest friend went work abroad
disgust;drunk man fallen street shout obscen word
shame;borrow monei exceed time limit
guilt;couldn t fulfil promis
joy;encount man love veri long separ
fear;woke middl night nightmar alon veri quiet veri dark
anger;shop assist behav rather roughli though hadn t slightest ground it
sadness;saw friend mine suffer veri heavi contus accid
disgust;caught glimps black beetl
shame;made veri sharp remark rehears
guilt;couldn t fulfil request girlfriend mine though categor promis believ wouldn t hindranc partli object reason also couldn t organ myself
joy;success mine real achiev
disgust;look dy patient work on night young woman colleagu talk rel offer support emotion physic sent coffe shop dinner rather offer facil avail us caus involv work see felt disgust attitud
shame;put lot weight month everi time met someon knew would avoid them usual hide self imag low asham done myself
guilt;involv attempt man develop close warm relationship with although knew done everyth could progress normal life poor felt guilti could done more
joy;first time life tell someon love them
fear;ring gui teen idol auckland realli scare didn t know sai do
anger;mother decid clean room throw thought junk without know it return home find half stuff gone
sadness;couldn t find dog miss
disgust;disgust friend s behaviour got absolut drunk vomit hous
shame;take place anti nuclear protest shout protest loudli american sailor u s texa submarin gui came said that s brother scream at felt shame realiz scream anoth person isn t good protest i m silent protest
guilt;felt guilti get realli angri friend argument stubborn proud selfish friend let down fault own
joy;met boyfriend discov share ideal goal life could share feel thought felt world s not bad someon realli close share life with
shame;call boi date me told ill while actual didn t want him later on ask feel better felt asham
guilt;hurt parent on wai anoth
joy;pass drive test three failur
fear;nearli caus traffic accid car
anger;plai footbal match on player made mean tackel kick everyth thing noth footbal
sadness;close friend decid stop studi back home
disgust;birthdai parti friend on frequent us hard drug parti discov friend also us them agre would help big user stop us it
shame;famili reunion start talk wear ear ring
guilt;mother s birthdai father us bui present togeth howev bought someth togeth girlfriend forgot ask father
joy;instanc girl interest like me
fear;walk fridai night nijmegen go pub disco
disgust;felt dusgust self iterest person ruin life anoth mean utterli unfair method
shame;didn t import job advers effect peopl
guilt;stroke person undeservedli
joy;sens feel pass successfulli second tour competit
fear;felt fear mother heavili ill
anger;felt anger colleagu mine rehears act hadn t learnt text opera act cours sever month thu make difficulti rest colleagu
sadness;felt sad get separ woman love leav motherland
disgust;felt disgust alcohol happen see young man dead world wallow pavement sight watch bu
shame;felt shame couldn t look teacher s ey not attend lectur
guilt;felt guilti batter death classmat mine
joy;happi difficult time could find support friend fianct happi spiritu moral help gave new power struggl happi then felt soul
fear;felt time felt disgust
anger;felt occas felt sad final grew anger
sadness;live work condit home unbear us live three room flat togeth two famili discord caus chang on famili move out famili stai drift awai fianct fact two famili flat found alon struggl life fianct not stai next grief sorrow took larg proport want commit suicid instead threw caus irrit
disgust;disgust sister s husband earli sundai morn knock door suddenli rush finch still bed began quarrel someth could not understand heard last word don t stare i ll beat bed got terrifi thrash follow
shame;feel shame mix anger behavior incultiv peopl fianct foreign
guilt;felt guilt account ambit nearli turn sister parent home
joy;felt final accept bulgarian conservatori appli coupl year
fear;experienc feel doctor found nodul on mother s breast turn occlus result contini suck dai not reason
anger;accid trafic polic car pack curv without visibl traffic regul strong snowstorm result still cannot repair car miss spare part
sadness;sudden doubt made run long time raini autumn night reach intend place saw belov anoth man s arm sudden blow grief cannot qualifi it pain rememb it
disgust;felt disgust man trust respect whose problem alwai shown deep understand
shame;given task learn page music text small part forgotten felt quit awkward show prepar
guilt;time ago slap son without try understand real culprit damag wa felt guilti bad late
joy;boyfriend made propos
fear;given audit get role competitress wasn t well prepar ill
anger;whole crowd went folklor festiv instructor cast boyfriend plai travel us decid catch train leav earli morn busi follow dai instructor tri get upper hand made catch train spite everyth time made angri
sadness;quarrel boyfriend
disgust;disgust fact bad singer plai opera and not there protegt lover import felow time young abl singer work quit differ field life
shame;feel shy show worth work first time conductor produc unfamiliar me
guilt;offend mother
joy;heard mark got entranc examin realiz admitt univers almost certain
fear;alon home suddenli felt unwel on help call first aid
joy;admit languag school dai inform messag parent congratul me
fear;dive deep sea reach floor felt breathless cautiou doubt should abl come surfac inhal
anger;friend girl promis help hospit examin good expert deceiv me
sadness;stai abroad long time rememb friend rel felt sad want see soon possibl
disgust;felt saw headmast blush ingrati high rank offici
shame;hadn t learnt lesson ask teacher give three agre even felt quit awkward nb bulgarian school three second worst mark
guilt;shout quarrel reason rude mother behaviour influenc outward factor
joy;satisfi someth achiev someth striven to
fear;on fear mani thing exampl on fear go dentist far concern feel connect examin session
anger;unjustli assess someth sure right
sadness;loss close friend rel feel grief awai home too
anger;want someth happen didn t
sadness;couldn t girl veri keen
disgust;friend got acquaint gui sofia turn gai found dai
shame;first girlfriend feel go defect
guilt;year ago ran awai home disappoint parent
joy;pass exam
fear;car accid
anger;share secret friend later turn reveal anoth person didn t get along veri well
sadness;loss veri good friend
disgust;neg statement concern friend stranger
shame;adulteri girlfriend friend mine learn
guilt;adulteri friend s girlfriend
joy;i m glad good relat colleagu parti
fear;experienc drive car pass on com opposit direct incred small distanc
anger;get angri peopl attain certain statu without deserv it support author influenc peopl
sadness;feel sad see thing done men noth could stop least think so
disgust;experienc disgust peopl usual doubl dealer
shame;asham not prepar subject answer presenc patient
guilt;feel guilti should done someth rate haven t done it
joy;experienc accept medic higher institut
fear;felt sat exam anatomi
anger;experi feel unsult without deserv someon deceiv me
sadness;grandfath di
disgust;feel disgust toadi hypocrit chameleon
shame;someth unworthi
guilt;offend parent without want it
joy;successfulli pass exam happi
fear;friend mine gave birth child veri danger deliveri afraid babi
anger;get angri someon imput thing never do natur neg servil connect impud trait get mad
sadness;brother soldier promis come home furlough last moment phone said could not come
disgust;disgust lier hypocrit slander flunkei
shame;recent saw young girl fawn man monei thing asham woman
guilt;overhastingli offend hurt
joy;term exam happen meet person respect think veri highli nice although see rare not forgotten me
fear;year ago father veri ill stai hospit long time experienc terribl feel might lose him
anger;friend deepli trust happen lost confid blame
sadness;sever friend charact veri differ inevit split two extrem sad don t know do try not hurt either parti conflict on should belong
disgust;stai sever week friend mine move live husband on even came drunk made aw scene still rememb
shame;past experienc feel almost time wherev went differ sutuat small taken kindergarten fool didn t dare tell exactli where final result late
guilt;roommat got marri invit share flat them young coupl should not third person blame not follow advis other not late still
joy;experienc feel accept student everyth turn differ expect although pass exam successfulli accept student didn t expect all name begin septemb
fear;real sens word experienc fear first month armi first night duti caus bear becam panic sticken mai first time even forgot gun
anger;soldier quarrel command mai reveng detail duti two success night natur check second night found asleep sent cell
sadness;sometim experi sad sport high school unreal dream sport anywai spent six year life
disgust;sort awkward i d introduc lover introduc friend member famili niec yavanna who s six home school mum s dad s realli silli first ok went yukki pooh eat snot etc felt cross wouldn t stop audienc on mood i d accept someth everyon time felt better partli friend there
shame;go dinner celebr friend s birthdai older cousin realli want get drunk co i d visit cousin wife place quit bit alwai veri care brought believ moder drink but not guilt repress etc mix drink smoke which rare did got drunk leav tabl get sick loo later went home sick again never felt aw life didn t want face tell flatmat famili
guilt;us pinch chang father s mantlepiec never mother didn t get enough housekeep i d feel went church famili i d felt awkward co felt i m expect communion would afraid guilti co commit mortal sin
joy;spontan picnic sister friend children great
fear;think time felt fear
anger;teenag neighbour smash letterbox fifth time coupl month deliber action kid stai home meal yet took dislik daughter
sadness;gui care went back canada live
disgust;bu driver drive roughli old man fell seat aisl driver wouldn t stop disgust behaviour
shame;daughter court staff pilfer dress like street walker friend form oversea fals try impress famili
guilt;report neighbour polic take daughter basebal ball counsellor rang long talk convinc woman o k felt guilti ring polic guilti feel guilti it
joy;meet two friend not seen year special peopl me
fear;korean war attack mortar companion stop jeep ran cover fortun neither hit came close kill
anger;i ve situat respons employe habit late came late promis sai would work minut arriv hour later drink
sadness;brother law dy cancer see wast awai veri sad
disgust;disgust stroke sleep girl s privat part
shame;son apprehend shoplift ag apprehend ag felt shame not abl prevent son act wai
guilt;remov articl cloth belong employ posit trust
joy;took year old woman even hamburg describ even happiest night year
fear;tramp narrow path two confront woman two snarl dog demand get properti via flood river
anger;friend got angri drove like lunat other car angri danger drive
sadness;boi look probat servic deliber offend provok reaction polic
disgust;letter word programm roch entertain conserv relat want see first episod
shame;young visitor hous stole monei elderli visitor s purs wasn t notic hour
guilt;leav import function earli famili commit someon els complet job
joy;serious injur road accid veri first step took on crutch support felt good enjoi aliv
fear;attack stand doorwai pack dog alsatian farm dog escap rout block shut fenc
anger;hous live new flatmat friend unfortun dirt societi intellig fashon rich bore parti recent thing didn t like done hous felt angri them
sadness;drive near girlfriend s hous decid keep go late would back next dai anywai next dai kill road accid
disgust;girlfriend came home busi dinner expens place town drunk skunk what drove home couldn t rememb so disgust state action
shame;good friend mine told comfid tri commit suicid meet wouldn t think so told anoth friend mine feel depress twin brother s suicid broke bond confidenti
guilt;young stole someth shop got caught taken polic station parent come get me
joy;found set task i e essai test thought oppress me not date thought
fear;confront opinion hassl polic
disgust;disgust no mayb precis sai revult worm snake mean social aspect somebodi behav like scoundrel you action made chang attitud toward thing feel wai meant it not typic peopl interrel
shame;betrai trust given connect copi class work school
guilt;forgotten warn somebodi someth forgotten bring someth ask for
joy;when exampl eleventh school year learn class bulgarian languag literatur nation olympiad
fear;when exampl grandfath fell serious ill necessari oper felt great fear lose dear me
anger;when exampl not approv continu studi moscow univers matter highest mark gener best record candid
sadness;when exampl left first time parent went live sofia
disgust;when exampl someon calumn
shame;when exampl fail undertak
guilt;exampl promis someth haven t fulfil it
joy;time ago close rel mine got cheap worst
fear;last time felt come home late night
anger;haven t often felt feel someon stole garment
sadness;recent happen remain alon long time
disgust;don t rememb situat experienc feel mayb saw drunkard street
shame;li best friend wouldn t reform done
guilt;happen quit often can t describ particular case
joy;realiz on s desir experienc feel satisfact realiz on s desir aim
fear;fear loss close friend feel ground slip feet
anger;attitud manner deal sanction relat
sadness;feel unabl preserv on s idea ambit innoc young
disgust;attitud relat famili
shame;exagger certain circumst wrong attitud evalu circumst
guilt;low evalu peopl s care
joy;sport contest
fear;close rel s life danger
anger;close person li me
sadness;get separ girlfriend
disgust;encout prostitut
shame;theft commit me
guilt;lack respect parent
joy;son born
fear;examin
anger;unjust punish friend mine
sadness;loss close rel
disgust;somebodi behav like scoundrel recent colleagu mine us name anoth on benefit
shame;travel bu forgot punch ticket ticket collector came pai fine feel shame
guilt;forgot convei import announc
joy;meet love man
